"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R18,R27,R29,R28,R19,R26";"R_0805_2012Metric";6;"4.7K";;;
2;"U7";"HiLetgo_OLED_SPI";1;"OLED_DISPLAY_SSD1306_SPI";;;
3;"C28,C14,C13,C29,C3,C2,C6,C27,C17,C5";"C_0805_2012Metric";10;"100NF";;;
4;"U4";"SOP-6_2.54mm";1;"H11L1";;;
5;"R20";"R_0805_2012Metric";1;"470R";;;
6;"J7,J6";"PinSocket1x20_P2.54mm_Vertical_JLCPCB";2;"Conn_01x20_Socket";;;
7;"R11,R1,R2,R12,R5,R10,R15,R16,R4,R9";"R_0805_2012Metric";10;"2M";;;
8;"K2,K1";"Relay_DPDT_Omron_G6K-2G-Y";2;"G6K-2";;;
9;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"OPA1652AID";;;
10;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP6004";;;
11;"R14,R13";"R_0805_2012Metric";2;"100R";;;
12;"J4";"NEUTRIK_NMJ6HCD2";1;"AUDIO_OUT_TRS";;;
13;"C10,C9";"C_0805_2012Metric";2;"2.2NF";;;
14;"C19,C20,C22,C24";"C_0805_2012Metric";4;"10uF";;;
15;"C18,C21,C25,C23";"C_0805_2012Metric";4;"100nF";;;
16;"C1,C8,C7,C12,C30,C4,C11,C16,C15,C26";"C_0805_2012Metric";10;"10UF";;;
17;"R23,R22,R21,R25,R24";"R_0805_2012Metric";5;"1K";;;
18;"D3,D4";"D_SOD-123F";2;"1N4007";;;
19;"R7,R8";"R_0805_2012Metric";2;"3.3K";;;
20;"U5,U6";"SOP-4_3.8x4.1mm_P2.54mm";2;"CPC1018N";;;
21;"R3,R6";"R_0805_2012Metric";2;"100K";;;
22;"D2";"D_SOD-123";1;"1N4148";;;
23;"J2";"NEUTRIK_NMJ6HCD2";1;"AUDIO_IN_TRS";;;
24;"GND,Vin";"TestPoint_THTPad_D2.0mm_Drill1.0mm";2;"~";;;
25;"U1";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
26;"R17";"R_0805_2012Metric";1;"220R";;;
27;"U8";"TO-220-3_Vertical";1;"LM7805_TO220";;;
28;"REF**";"Enclosure_FP";1;"Enclosure_FP";;;
29;"D1";"D_SOD-123";1;"1N5817";;;
30;"Q1";"SOT-23-3";1;"SS8050";;;
31;"FS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Foot_Switch_1";;;
32;"potty1,potty4,potty3,potty2";"Potty";4;"Custom_Encoder/LED_Module";;;
33;"LED1";"PinHeader_1x02_P2.54mm_Vertical";1;"LED_1";;;
34;"LED2";"PinHeader_1x02_P2.54mm_Vertical";1;"LED_2";;;
35;"FS2";"PinHeader_1x02_P2.54mm_Vertical";1;"Foot_Switch_2";;;
36;"J3";"PJ-320A";1;"MIDI IN JACK";;;
