Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10UF","C_0805_2012Metric",146.900000,-43.450000,-90.000000,top
"C2","100NF","C_0805_2012Metric",149.150000,-43.450000,-90.000000,top
"C3","100NF","C_0805_2012Metric",169.374146,-104.021394,180.000000,top
"C4","10UF","C_0805_2012Metric",164.550715,-113.730073,180.000000,top
"C5","100NF","C_0805_2012Metric",142.525000,-111.275000,0.000000,top
"C6","100NF","C_0805_2012Metric",142.525000,-113.525000,0.000000,top
"C7","10UF","C_0805_2012Metric",133.010000,-104.267500,90.000000,top
"C8","10UF","C_0805_2012Metric",133.027126,-108.042500,-90.000000,top
"C9","2.2NF","C_0805_2012Metric",159.542201,-98.635132,-90.000000,top
"C10","2.2NF","C_0805_2012Metric",166.292201,-98.635132,-90.000000,top
"C11","10UF","C_0805_2012Metric",161.792201,-98.635132,90.000000,top
"C12","10UF","C_0805_2012Metric",164.042201,-98.635132,90.000000,top
"C13","100NF","C_0805_2012Metric",152.516491,-102.363637,0.000000,top
"C14","100NF","C_0805_2012Metric",152.156405,-104.424876,0.000000,top
"C15","10UF","C_0805_2012Metric",147.116091,-105.104146,90.000000,top
"C16","10UF","C_0805_2012Metric",133.075000,-112.767500,-90.000000,top
"C17","100NF","C_0805_2012Metric",139.750000,-62.000000,0.000000,top
"C18","100nF","C_0805_2012Metric",160.475000,-61.800000,180.000000,top
"C19","10uF","C_0805_2012Metric",160.475000,-59.600000,180.000000,top
"C20","10uF","C_0805_2012Metric",124.725000,-61.925000,180.000000,top
"C21","100nF","C_0805_2012Metric",124.725000,-59.825000,180.000000,top
"C22","10uF","C_0805_2012Metric",117.275000,-84.175000,90.000000,top
"C23","100nF","C_0805_2012Metric",119.385000,-84.175000,90.000000,top
"C24","10uF","C_0805_2012Metric",151.840000,-85.000000,90.000000,top
"C25","100nF","C_0805_2012Metric",153.950000,-85.000000,90.000000,top
"C26","10UF","C_0805_2012Metric",144.875000,-49.725000,0.000000,top
"C27","100NF","C_0805_2012Metric",155.145839,-56.966899,90.000000,top
"C28","100NF","C_0805_2012Metric",144.900000,-47.550000,0.000000,top
"C29","100NF","C_0805_2012Metric",168.344991,-113.734541,0.000000,top
"C30","10UF","C_0805_2012Metric",153.020839,-56.966899,90.000000,top
"D1","1N5817","D_SOD-123",142.700000,-43.850000,180.000000,top
"D2","1N4148","D_SOD-123",138.000000,-47.850000,180.000000,top
"D3","1N4007","D_SOD-123F",116.100000,-112.500000,90.000000,top
"D4","1N4007","D_SOD-123F",115.825000,-101.000000,90.000000,top
"J2","AUDIO_IN_TRS","NEUTRIK_NMJ6HCD2",125.400000,-124.977064,180.000000,top
"J3","MIDI IN JACK","PJ-320A",124.000000,-48.500000,-90.000000,top
"J4","AUDIO_OUT_TRS","NEUTRIK_NMJ6HCD2",158.600000,-125.000000,0.000000,top
"J6","Conn_01x20_Socket","PinSocket1x20_P2.54mm_Vertical_JLCPCB",138.430000,-64.900000,0.000000,top
