Designator,Mid X,Mid Y,Rotation,Layer
C1,146.9,-43.45,270.0,top
C10,166.292201,-98.635132,270.0,top
C11,161.792201,-98.635132,90.0,top
C12,164.042201,-98.635132,90.0,top
C13,152.516491,-102.363637,0.0,top
C14,152.156405,-104.424876,0.0,top
C15,147.116091,-105.104146,90.0,top
C16,133.075,-112.7675,270.0,top
C17,139.75,-62.0,0.0,top
C18,160.475,-61.8,180.0,top
C19,160.475,-59.6,180.0,top
C2,149.15,-43.45,270.0,top
C20,124.725,-61.925,180.0,top
C21,124.725,-59.825,180.0,top
C22,117.275,-84.175,90.0,top
C23,119.385,-84.175,90.0,top
C24,151.84,-85.0,90.0,top
C25,153.95,-85.0,90.0,top
C26,144.875,-49.725,0.0,top
C27,155.145839,-56.966899,90.0,top
C28,144.9,-47.55,0.0,top
C29,168.344991,-113.734541,0.0,top
C3,169.374146,-104.021394,180.0,top
C30,153.020839,-56.966899,90.0,top
C4,164.550715,-113.730073,180.0,top
C5,142.525,-111.275,0.0,top
C6,142.525,-113.525,0.0,top
C7,133.01,-104.2675,90.0,top
C8,133.027126,-108.0425,270.0,top
C9,159.542201,-98.635132,270.0,top
D1,142.7,-43.85,180.0,top
D2,138.0,-47.85,180.0,top
D3,116.1,-112.5,90.0,top
D4,115.825,-101.0,90.0,top
FS1,138.77,-132.25,90.0,bottom
FS2,145.23,-132.25,90.0,bottom
J2,125.4,-124.977064,180.0,top
J3,124.0,-47.984,270.0,top
J4,158.6,-125.0,0.0,top
J6,138.43,-64.9,0.0,top
J7,138.41,-80.15,180.0,top
K1,122.75,-101.45,90.0,top
K2,122.8,-110.75,90.0,top
LED1,123.48,-125.0,90.0,bottom
LED2,160.505,-125.0,90.0,bottom
POTTY1,160.0,-55.150549,180.0,bottom
POTTY2,124.0,-55.150549,180.0,bottom
POTTY3,161.34945,-84.0,270.0,bottom
POTTY4,125.34945,-84.0,270.0,bottom
Q1,114.9625,-105.2,180.0,top
R1,130.8,-104.2675,90.0,top
R10,161.767201,-102.997632,270.0,top
R11,166.267201,-102.985132,90.0,top
R12,164.017201,-102.997632,270.0,top
R13,149.329718,-105.080085,270.0,top
R14,135.325,-112.7675,90.0,top
R15,149.05611,-102.33866,0.0,top
R16,130.825,-112.7675,90.0,top
R17,129.1025,-46.22,0.0,top
R18,136.988407,-68.637704,270.0,top
R19,134.525,-68.5875,270.0,top
R2,130.777126,-108.0425,270.0,top
R20,136.1875,-62.0,180.0,top
R21,113.2,-100.1125,270.0,top
R22,156.259688,-106.170857,180.0,top
R23,159.937398,-106.162837,0.0,top
R24,152.16,-69.4325,90.0,top
R25,149.62,-69.4325,90.0,top
R26,132.025,-68.5625,270.0,top
R27,129.475,-68.5625,270.0,top
R28,142.225,-76.3875,270.0,top
R29,144.8,-76.3875,270.0,top
R3,139.45,-112.6125,90.0,top
R4,135.3,-104.2675,90.0,top
R5,135.277126,-108.0425,270.0,top
R6,137.35,-112.6375,270.0,top
R7,159.4367,-93.755016,270.0,top
R8,161.9167,-93.715016,270.0,top
R9,159.464112,-102.76024,90.0,top
U1,167.091595,-108.965963,0.0,top
U2,141.335,-106.175,0.0,top
U3,148.925321,-110.946541,0.0,top
U4,137.1,-54.975,90.0,top
U5,154.645862,-111.054816,180.0,top
U6,159.662614,-111.126999,180.0,top
U7,142.0,-108.71,0.0,bottom
U8,147.806389,-56.248633,270.0,top
